batch,send_order,organisation,contact_name,role,email,category,segment,template_id,location,state,source_url,status,sent_date,follow_up_date,notes
batch-01-hospital-phn,1,Northern Territory PHN,,,communication@ntphn.org.au,PHN,coordinator-phn,coordinator-phn-correction,NT,NT,https://ntphn.org.au/contact-us/,ready_for_review,,,Media and communications contact
batch-01-hospital-phn,2,Northern Territory PHN Operations,,,operations@ntphn.org.au,PHN,coordinator-phn,coordinator-phn-correction,NT,NT,https://ntphn.org.au/contact-us/,ready_for_review,,,Operations contact
batch-01-hospital-phn,3,Royal Darwin Hospital,,,registryrdh.ths@nt.gov.au,Hospital,hospital-health-system,hospital-discharge-social-work,Darwin,NT,https://nt.gov.au/wellbeing/hospitals-health-services/royal-darwin-hospital/contact-royal-darwin-hospital,ready_for_review,,,Main contact listed by NT Government
batch-01-hospital-phn,4,Royal Darwin Hospital Patient Advocate,,,patientadvocaterdh.doh@nt.gov.au,Hospital,hospital-health-system,hospital-discharge-social-work,Darwin,NT,https://nt.gov.au/wellbeing/hospitals-health-services/royal-darwin-hospital/contact-royal-darwin-hospital,ready_for_review,,,Patient advocate contact
batch-01-hospital-phn,5,Palmerston Regional Hospital,,,palmerstonhospital.doh@nt.gov.au,Hospital,hospital-health-system,hospital-discharge-social-work,Palmerston,NT,https://nt.gov.au/wellbeing/hospitals-health-services/palmerston-regional-hospital/contact,ready_for_review,,,Main contact listed by NT Government
batch-01-hospital-phn,6,Palmerston Regional Hospital Main Reception,,,palmerstonregionalhospital.mainreception@nt.gov.au,Hospital,hospital-health-system,hospital-discharge-social-work,Palmerston,NT,https://nt.gov.au/wellbeing/hospitals-health-services/palmerston-regional-hospital/contact,ready_for_review,,,Complaints/feedback/main reception contact
batch-01-hospital-phn,7,Alice Springs Hospital Patient Liaison,,,PLOASHCentral.Health@NT.GOV.AU,Hospital,hospital-health-system,hospital-discharge-social-work,Alice Springs,NT,https://nt.gov.au/wellbeing/hospitals-health-services/alice-springs-hospital/contact-alice-springs-hospital,ready_for_review,,,Patient advocate/contact listed by NT Government
batch-01-hospital-phn,8,CDC Top End,,,cdcsurveillancetopend.health@nt.gov.au,NT Health program,hospital-health-system,hospital-discharge-social-work,Darwin,NT,https://health.nt.gov.au/professionals/centre-for-disease-control/cdc-contacts,ready_for_review,,,Professional/public health regional contact
batch-01-hospital-phn,9,CDC Big Rivers,,,cdcbigrivers.health@nt.gov.au,NT Health program,hospital-health-system,hospital-discharge-social-work,Katherine,NT,https://health.nt.gov.au/professionals/centre-for-disease-control/cdc-contacts,ready_for_review,,,Professional/public health regional contact
batch-01-hospital-phn,10,CDC Barkly,,,cdcbarkly.health@nt.gov.au,NT Health program,hospital-health-system,hospital-discharge-social-work,Tennant Creek,NT,https://health.nt.gov.au/professionals/centre-for-disease-control/cdc-contacts,ready_for_review,,,Professional/public health regional contact
batch-01-hospital-phn,43,NT Health Consumer Feedback,,,Feedback.Health@nt.gov.au,NT Health system,hospital-health-system,hospital-discharge-social-work,NT,NT,https://nt.gov.au/wellbeing/hospitals-health-services/friends-nt-health,ready_for_review,,,Public NT Government contact
batch-01-hospital-phn,44,Royal Darwin Hospital Transport Service,,,tepts.ths@nt.gov.au,Hospital service,hospital-health-system,hospital-discharge-social-work,Darwin,NT,https://nt.gov.au/wellbeing/hospitals-health-services/royal-darwin-hospital/services-at-royal-darwin-hospital?SQ_PAINT_LAYOUT_NAME=multi&curr=171981&print=yes,ready_for_review,,,Public NT Government service contact
batch-01-hospital-phn,45,Darwin Private Hospital,,,darwinprivatehospital@healthscope.com.au,Private hospital,hospital-health-system,hospital-discharge-social-work,Tiwi,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/tiwi-0810-nt/darwin-private-hospital/hospitals/cdd77232-195f-4446-fd5d-1d75fbfa4416,ready_for_review,,,Healthdirect public listing
