batch,send_order,organisation,contact_name,role,email,category,segment,template_id,location,state,source_url,status,sent_date,follow_up_date,notes
batch-02-gp-aboriginal-health,11,Northside Health NT,,,admin@northsidehealthnt.com.au,GP clinic,gp-practice,gp-practice,Coconut Grove,NT,https://www.northsidehealthnt.com.au/,ready_for_review,,,Public practice contact
batch-02-gp-aboriginal-health,12,Bath Street Family Medical Centre,,,medical@cydar.com.au,GP clinic,gp-practice,gp-practice,Alice Springs,NT,https://www.bathstreetfamilymedical.com.au/,ready_for_review,,,Public practice contact
batch-02-gp-aboriginal-health,13,Fannie Bay Medical Centre,,,admin@fanniebaymedical.com.au,GP clinic,gp-practice,gp-practice,Fannie Bay,NT,https://www.fanniebaymedical.com.au/about-us,ready_for_review,,,Public practice contact
batch-02-gp-aboriginal-health,14,VMG Clinic,,,Admin@vmgclinic.com.au,GP clinic,gp-practice,gp-practice,Darwin,NT,https://www.vmgclinic.com.au/,ready_for_review,,,Public practice contact; phone shown truncated in search result and needs verification
batch-02-gp-aboriginal-health,15,Central Clinic Alice Springs,,,admin@centralclinic.net.au,GP clinic,gp-practice,gp-practice,Alice Springs,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/alice-springs-0870-nt/central-clinic-alice-springs/gp-general-practice/6b403589-53ed-aa0c-2b5a-872aebe08982,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,20,NT Kidney Clinic,,,admin@ntkidneyclinic.com,Specialist practice,gp-practice,gp-practice,Darwin,NT,https://darwinprivatehospital.com.au/application/files/8016/6476/1256/Darwin_Directory_A4_0922.pdf,ready_for_review,,,Public Darwin Private Hospital specialist directory
batch-02-gp-aboriginal-health,21,MediClinic,,,mediclinicreception@gmail.com,GP clinic,gp-practice,gp-practice,Darwin City,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/darwin-city-0800-nt/mediclinic/gp-general-practice/b8b31fb6-3ce6-4cf7-9d55-a865535157ab,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,22,Territory Medical Group Mitchell,,,admin@territorymedical.com,GP clinic,gp-practice,gp-practice,Darwin City,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/darwin-city-0800-nt/territory-medical-group-mitchell/gp-general-practice/8364134d-ec00-8769-afe9-f02c827eafbf,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,23,Cavenagh Medical Centre,,,cmcadmin@cavenaghmedical.com.au,GP clinic,gp-practice,gp-practice,Darwin City,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/darwin-0800-nt/cavenagh-medical-centre/gp-general-practice/2f88a331-f8e8-a927-b507-b58db3c972f0,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,24,Danila Dilba - Knuckey Street Clinic,,,dar.fax@ddhs.org.au,Aboriginal health / GP clinic,aboriginal-health,gp-practice,Darwin City,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/darwin-city-0800-nt/danila-dilba-knuckey-street-clinic/gp-general-practice/1a96c315-1dda-75ec-f8ad-192d73989d37,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,25,Carepoint Medical Centre Darwin,,,carepointreception@gmail.com,GP clinic,gp-practice,gp-practice,Casuarina,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/casuarina-0810-nt/carepoint-medical-clinic/general-practice-service/6da8720c-7253-fd55-815a-6a4e0d746105,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,26,Pandanus Medical NT,,,reception@pandanusmedicalnt.com.au,GP clinic,gp-practice,gp-practice,Millner,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/millner-0810-nt/pandanus-medical-nt/general-practice-service/46c40c8e-b79c-e4dc-64d0-c98dcd91083e,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,27,Oasis Medical,,,reception@oasismedical.com.au,GP clinic,gp-practice,gp-practice,Palmerston City,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/palmerston-city-0830-nt/oasis-medical/gp-general-practice/4a1be291-115a-43cf-bfa1-d087d6e99eb5,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,28,Danila Dilba - Palmerston Clinic,,,pal.fax@ddhs.org.au,Aboriginal health / GP clinic,aboriginal-health,gp-practice,Palmerston City,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/palmerston-0830-nt/danila-dilba-palmerston-clinic/gp-general-practice/1a0c9048-8127-dd9f-7877-51b912912a78,ready_for_review,,,Healthdirect public listing
batch-02-gp-aboriginal-health,29,Palmerston Medical Clinic,,,palmmed@pmcgp.com.au,GP clinic,gp-practice,gp-practice,Palmerston City,NT,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/palmerston-city-0830-nt/palmerston-medical-clinic/children-s-medical-service/72544ec4-1c0a-3cbf-0cab-7727d2fbeb7a,ready_for_review,,,Healthdirect public listing
