organisation,type,location,email,phone,source_url,notes
Northern Territory PHN,PHN,NT,communication@ntphn.org.au,08 8982 1000,https://ntphn.org.au/contact-us/,Media and communications contact
Northern Territory PHN Operations,PHN,NT,operations@ntphn.org.au,08 8982 1000,https://ntphn.org.au/contact-us/,Operations contact
Royal Darwin Hospital,Hospital,Darwin,registryrdh.ths@nt.gov.au,08 8922 8888,https://nt.gov.au/wellbeing/hospitals-health-services/royal-darwin-hospital/contact-royal-darwin-hospital,Main contact listed by NT Government
Royal Darwin Hospital Patient Advocate,Hospital,Darwin,patientadvocaterdh.doh@nt.gov.au,08 8922 8824,https://nt.gov.au/wellbeing/hospitals-health-services/royal-darwin-hospital/contact-royal-darwin-hospital,Patient advocate contact
Palmerston Regional Hospital,Hospital,Palmerston,palmerstonhospital.doh@nt.gov.au,08 7979 9200,https://nt.gov.au/wellbeing/hospitals-health-services/palmerston-regional-hospital/contact,Main contact listed by NT Government
Palmerston Regional Hospital Main Reception,Hospital,Palmerston,palmerstonregionalhospital.mainreception@nt.gov.au,08 7979 9200,https://nt.gov.au/wellbeing/hospitals-health-services/palmerston-regional-hospital/contact,Complaints/feedback/main reception contact
Alice Springs Hospital Patient Liaison,Hospital,Alice Springs,PLOASHCentral.Health@NT.GOV.AU,08 8951 7777,https://nt.gov.au/wellbeing/hospitals-health-services/alice-springs-hospital/contact-alice-springs-hospital,Patient advocate/contact listed by NT Government
CDC Top End,NT Health program,Darwin,cdcsurveillancetopend.health@nt.gov.au,08 8922 8044,https://health.nt.gov.au/professionals/centre-for-disease-control/cdc-contacts,Professional/public health regional contact
CDC Big Rivers,NT Health program,Katherine,cdcbigrivers.health@nt.gov.au,08 8973 9049,https://health.nt.gov.au/professionals/centre-for-disease-control/cdc-contacts,Professional/public health regional contact
CDC Barkly,NT Health program,Tennant Creek,cdcbarkly.health@nt.gov.au,08 8962 4259,https://health.nt.gov.au/professionals/centre-for-disease-control/cdc-contacts,Professional/public health regional contact
Northside Health NT,GP clinic,Coconut Grove,admin@northsidehealthnt.com.au,08 7999 7448,https://www.northsidehealthnt.com.au/,Public practice contact
Bath Street Family Medical Centre,GP clinic,Alice Springs,medical@cydar.com.au,08 8952 2000,https://www.bathstreetfamilymedical.com.au/,Public practice contact
Fannie Bay Medical Centre,GP clinic,Fannie Bay,admin@fanniebaymedical.com.au,,https://www.fanniebaymedical.com.au/about-us,Public practice contact
VMG Clinic,GP clinic,Darwin,Admin@vmgclinic.com.au,08 7918,https://www.vmgclinic.com.au/,Public practice contact; phone shown truncated in search result and needs verification
Central Clinic Alice Springs,GP clinic,Alice Springs,admin@centralclinic.net.au,08 8952 1088,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/alice-springs-0870-nt/central-clinic-alice-springs/gp-general-practice/6b403589-53ed-aa0c-2b5a-872aebe08982,Healthdirect public listing
NT Medical Specialist,Specialist practice,Wanguri,admin@ntmedicalspecialist.com.au,08 7913 7873,https://ntmedicalspecialist.com.au/contact-us/,Public specialist practice contact
Central Specialist Suites,Specialist practice,Darwin Private Hospital,admin.csc@centralspecialists.com.au,08 8981 1711,https://darwinprivatehospital.com.au/application/files/8016/6476/1256/Darwin_Directory_A4_0922.pdf,Public Darwin Private Hospital specialist directory
Darwin Gynaecology,Specialist practice,Darwin,admin@darwingyn.com.au,08 8912 2500,https://darwinprivatehospital.com.au/application/files/8016/6476/1256/Darwin_Directory_A4_0922.pdf,Public Darwin Private Hospital specialist directory
OrthoSports NT,Specialist practice,Darwin,admin@orthosportsnt.com.au,08 8911 0939,https://darwinprivatehospital.com.au/application/files/8016/6476/1256/Darwin_Directory_A4_0922.pdf,Public Darwin Private Hospital specialist directory
